"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2008","161004","Bowdoin College","Maine","6033","1119","650","760","650","750","29","33","29","34","29","34","Private not-for-profit","Four or more years"
"2008","161086","Colby College","Maine","4835","1492","640","720","640","710","28","31","27","33","27","32","Private not-for-profit","Four or more years"
"2008","161165","Husson University","Maine","1210","1043","410","520","410","550","17","22","15","22","16","22","Private not-for-profit","Four or more years"
"2008","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2008","161226","University of Maine at Farmington","Maine","1902","1293","","","","","","","","","","","Public","Four or more years"
"2008","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2008","161244","University of Maine at Machias","Maine","363","302","420","580","410","540","16","25","17","22","16","25","Public","Four or more years"
"2008","161253","University of Maine","Maine","6993","5402","480","590","490","600","20","25","","","","","Public","Four or more years"
"2008","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2008","161299","Maine Maritime Academy","Maine","578","388","450","560","480","570","18","25","15","22","17","25","Public","Four or more years"
"2008","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2008","161457","University of New England","Maine","3149","2449","480","570","470","590","21","26","20","27","19","25","Private not-for-profit","Four or more years"
"2008","161509","Maine College of Art","Maine","381","304","480","600","450","580","20","28","","","","","Private not-for-profit","Four or more years"
"2008","161518","Saint Joseph's College of Maine","Maine","1256","976","440","530","440","540","","","","","","","Private not-for-profit","Four or more years"
"2008","161554","University of Southern Maine","Maine","4239","3456","450","560","440","550","18","24","17","24","18","24","Public","Four or more years"
"2008","161563","Thomas College","Maine","691","534","420","520","430","530","15","19","13","19","15","23","Private not-for-profit","Four or more years"
"2008","161572","Unity College","Maine","613","444","","","","","","","","","","","Private not-for-profit","Four or more years"
"2008","373827","New England School of Communications","Maine","453","200","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","160959","College of the Atlantic","Maine","347","235","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","160977","Bates College","Maine","4433","1312","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","161004","Bowdoin College","Maine","5961","1130","650","740","650","730","29","33","29","34","28","33","Private not-for-profit","Four or more years"
"2007","161086","Colby College","Maine","4679","1488","640","720","640","720","28","31","27","32","26","31","Private not-for-profit","Four or more years"
"2007","161165","Husson College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2007","161226","University of Maine at Farmington","Maine","1721","1245","","","","","","","","","","","Public","Four or more years"
"2007","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2007","161244","University of Maine at Machias","Maine","381","349","440","530","400","530","15","25","12","23","15","20","Public","Four or more years"
"2007","161253","University of Maine","Maine","6086","4834","480","580","480","600","20","25","","","","","Public","Four or more years"
"2007","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2007","161299","Maine Maritime Academy","Maine","578","400","440","540","470","570","17","23","16","22","17","24","Public","Four or more years"
"2007","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2007","161457","University of New England","Maine","2902","2203","470","570","480","580","21","26","","","","","Private not-for-profit","Four or more years"
"2007","161509","Maine College of Art","Maine","322","263","430","530","400","490","18","23","","","","","Private not-for-profit","Four or more years"
"2007","161518","Saint Joseph's College of Maine","Maine","1301","1046","430","530","430","530","","","","","","","Private not-for-profit","Four or more years"
"2007","161554","University of Southern Maine","Maine","4041","3213","440","550","430","540","19","23","18","23","17","24","Public","Four or more years"
"2007","161563","Thomas College","Maine","674","628","400","500","450","510","18","22","","","","","Private not-for-profit","Four or more years"
"2007","161572","Unity College","Maine","586","457","","","","","","","","","","","Private not-for-profit","Four or more years"
"2007","373827","New England School of Communications","Maine","353","143","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","160959","College of the Atlantic","Maine","301","200","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","160968","Bangor Theological Seminary","Maine","2","0","","","","","","","","","","","Private not-for-profit","Four or more years"
